Countries,Year(s),"Professionals, technical and related workers","Administrative, executive and managerial workers",Clerical and related workers,Sales workers and services workers,"Agricultural, animal husbandry and forestry workers; fishermen and hunters ","Production and related workers, transport equipment operators and labourers",Others,Source
Brunei Darussalam,2014,33.2,7.6,11.4,19.5,1.4,13,13.9,ASEAN Secretariat
Cambodia,2014,3.7,0.8,3.9,15.3,58.1,17.3,0.9,ASEAN Secretariat
Indonesia ,1999,3.9,0.3,4.9,23.6,43,24,0.3,ASEAN Secretariat
Lao's PDR,,,,,,,,,ASEAN Secretariat
Malaysia ,2014,20.3,4.9,9.1,23,7.2,22.8,12.7,ASEAN Secretariat
Myanmar,,,,,,,,,ASEAN Secretariat
Philippines,2014,7.5,15.8,6.2,19.3,13.6,37.1,0.5,ASEAN Secretariat
Singapore,2014,36.8,16.3,12.6,12.2,,10.9,11.3,ASEAN Secretariat
Thailand,2014,10.3,3.7,3.9,18.9,31.7,21.2,10.2,ASEAN Secretariat
Viet Nam,2014,9.2,1.1,1.7,16.1,12.2,19.3,40.3,ASEAN Secretariat
